Country Code,Country Name,Year,Influenza Cases,People With Handwashing Facilities
AFG,Afghanistan,2017,3,37.84713186
AFG,Afghanistan,2018,5,37.93172009
AFG,Afghanistan,2019,7,38.02113959
AFG,Afghanistan,2020,3,38.11505004
ARM,Armenia,2017,69,94.0429415
ARM,Armenia,2018,114,94.70579809
ARM,Armenia,2019,141,94.70978978
ARM,Armenia,2020,152,94.71515011
AZE,Azerbaijan,2017,4,89.30401787
BFA,Burkina Faso,2017,3,8.906550959
BFA,Burkina Faso,2018,12,8.946726418
BFA,Burkina Faso,2019,5,8.980981641
BFA,Burkina Faso,2020,2,9.008969161
BGD,Bangladesh,2017,7,48.49695897
BGD,Bangladesh,2018,4,51.82701989
BGD,Bangladesh,2019,11,55.12933108
BGD,Bangladesh,2020,2,58.40395427
BLZ,Belize,2017,29,89.40937052
BLZ,Belize,2018,128,90.26509189
BLZ,Belize,2019,103,90.26999386
BLZ,Belize,2020,134,90.27548266
BTN,Bhutan,2017,587,88.18403934
BTN,Bhutan,2018,478,89.37374711
BTN,Bhutan,2019,885,90.54091731
BTN,Bhutan,2020,135,91.68614784
CAF,Central African Republic,2017,22,19.92213115
CAF,Central African Republic,2018,35,20.43582687
CAF,Central African Republic,2019,17,20.96387887
CAF,Central African Republic,2020,0,21.50712991
CMR,Cameroon,2017,18,35.97291182
CMR,Cameroon,2018,13,36.12214593
CMR,Cameroon,2019,13,36.27062939
CMR,Cameroon,2020,2,36.41861482
COL,Colombia,2017,17,67.5886749
COL,Colombia,2018,29,67.73761263
COL,Colombia,2019,26,67.88385858
COL,Colombia,2020,9,68.02785898
CRI,Costa Rica,2017,118,85.20069233
CRI,Costa Rica,2018,34,85.43706018
CRI,Costa Rica,2019,99,85.67551599
CRI,Costa Rica,2020,11,85.91586591
CUB,Cuba,2017,13,88.69194904
CUB,Cuba,2018,21,89.86191555
CUB,Cuba,2019,41,91.0320026
CUB,Cuba,2020,15,92.20205279
DOM,Dominican Republic,2017,6,46.51949403
DOM,Dominican Republic,2018,19,46.65420021
DOM,Dominican Republic,2019,8,46.78163814
DOM,Dominican Republic,2020,7,46.90197801
DZA,Algeria,2017,3,84.25496007
DZA,Algeria,2018,7,84.38397549
DZA,Algeria,2019,1,84.50756077
DZA,Algeria,2020,3,84.62598032
ECU,Ecuador,2017,30,87.10794194
ECU,Ecuador,2018,46,87.12834609
ECU,Ecuador,2019,35,87.15064079
ECU,Ecuador,2020,5,87.1749631
ETH,Ethiopia,2017,1,7.958985824
ETH,Ethiopia,2018,2,8.0288839
ETH,Ethiopia,2019,2,8.100170589
GEO,Georgia,2017,21,91.60953607
GEO,Georgia,2018,30,91.63822553
GEO,Georgia,2019,51,91.66734211
GEO,Georgia,2020,15,91.6969587
GHA,Ghana,2017,16,41.31647473
GHA,Ghana,2018,24,41.39238218
GHA,Ghana,2019,37,41.46759304
GHA,Ghana,2020,2,41.542221
GIN,Guinea,2018,5,20.32946144
GIN,Guinea,2019,10,20.40170471
GIN,Guinea,2020,2,20.47695921
GTM,Guatemala,2017,14,76.66550342
GTM,Guatemala,2018,20,76.71523013
GTM,Guatemala,2019,19,76.76641791
GUY,Guyana,2018,0,77.41722039
HTI,Haiti,2017,10,22.86274663
HTI,Haiti,2018,31,22.56721565
HTI,Haiti,2019,32,22.26459142
HTI,Haiti,2020,8,22.37304344
IDN,Indonesia,2017,4,89.07706113
IDN,Indonesia,2018,3,91.59156142
IDN,Indonesia,2019,2,94.0763809
IDN,Indonesia,2020,3,94.10706813
IND,India,2017,2,67.49364379
IND,India,2018,1,67.58940082
IND,India,2019,8,67.68782584
IND,India,2020,0,67.78892869
IRQ,Iraq,2017,1,95.29827903
IRQ,Iraq,2018,7,96.00079022
IRQ,Iraq,2019,10,96.69759436
IRQ,Iraq,2020,7,97.38824004
KAZ,Kazakhstan,2017,46,99.00881855
KAZ,Kazakhstan,2018,24,99.00927575
KAZ,Kazakhstan,2019,28,99.00982907
KEN,Kenya,2017,1,26.62376287
KEN,Kenya,2018,4,26.66692495
KEN,Kenya,2019,4,26.71091571
KEN,Kenya,2020,1,26.75592337
KHM,Cambodia,2017,14,69.97338241
KHM,Cambodia,2018,15,71.29451271
KHM,Cambodia,2019,19,72.59513859
KHM,Cambodia,2020,11,73.87465491
MDG,Madagascar,2017,14,25.99297481
MDG,Madagascar,2018,11,26.19207649
MDG,Madagascar,2019,16,26.38428919
MDG,Madagascar,2020,2,26.56996593
MDV,Maldives,2017,893,95.80286292
MDV,Maldives,2018,772,95.81186919
MDV,Maldives,2019,218,95.82091748
MDV,Maldives,2020,39,95.82998423
MEX,Mexico,2017,52,89.79834169
MEX,Mexico,2018,46,89.82111114
MEX,Mexico,2019,56,89.84379235
MKD,North Macedonia,2017,12,99.67465771
MKD,North Macedonia,2018,130,99.67437018
MKD,North Macedonia,2019,208,99.67404876
MKD,North Macedonia,2020,115,99.67368896
MLI,Mali,2017,9,16.60501226
MLI,Mali,2018,7,16.74616454
MLI,Mali,2019,11,16.88659658
MLI,Mali,2020,7,17.02576795
MMR,Myanmar,2017,8,74.40642148
MMR,Myanmar,2018,2,74.43820253
MMR,Myanmar,2019,15,74.47195518
MMR,Myanmar,2020,0,74.50768887
MNE,Montenegro,2017,6,99.24262365
MNE,Montenegro,2018,427,99.24244605
MNE,Montenegro,2019,817,99.24227274
MNE,Montenegro,2020,802,99.24209891
MNG,Mongolia,2017,172,80.33472787
MNG,Mongolia,2018,96,82.34581116
MNG,Mongolia,2019,281,84.35348203
MNG,Mongolia,2020,298,86.35624385
MRT,Mauritania,2017,2,52.22021748
MRT,Mauritania,2018,6,52.47528189
MRT,Mauritania,2019,12,52.72644032
NER,Niger,2017,5,20.17914189
NER,Niger,2018,4,21.2791514
NER,Niger,2019,6,22.38148248
NER,Niger,2020,6,23.48584637
NGA,Nigeria,2017,0,32.81282331
NGA,Nigeria,2018,0,32.9429398
NGA,Nigeria,2019,0,33.07116236
NGA,Nigeria,2020,0,33.19749375
NPL,Nepal,2017,76,58.07524086
NPL,Nepal,2018,34,59.44240709
NPL,Nepal,2019,89,60.79861327
NPL,Nepal,2020,24,62.14360127
OMN,Oman,2017,666,97.4
OMN,Oman,2018,302,97.4
OMN,Oman,2019,299,97.4
OMN,Oman,2020,35,97.4
PAK,Pakistan,2017,1,70.64573818
PAK,Pakistan,2018,3,73.79560573
PAK,Pakistan,2019,3,76.93463978
PAK,Pakistan,2020,0,80.06123049
PHL,Philippines,2017,3,81.66342606
PHL,Philippines,2018,2,81.67862742
PHL,Philippines,2019,6,81.6949777
PHL,Philippines,2020,0,81.71247639
PNG,Papua New Guinea,2017,3,29.67426076
PNG,Papua New Guinea,2018,3,29.6995586
PNG,Papua New Guinea,2019,2,29.73014088
PRY,Paraguay,2017,149,80.03719885
PRY,Paraguay,2018,145,80.07459873
PRY,Paraguay,2019,229,80.11317065
PRY,Paraguay,2020,15,80.15306083
RWA,Rwanda,2017,1,4.617278477
RWA,Rwanda,2018,2,4.6264149
RWA,Rwanda,2019,4,4.63725129
SEN,Senegal,2017,54,21.67512072
SEN,Senegal,2018,31,21.78511215
SEN,Senegal,2019,30,21.89729313
SEN,Senegal,2020,22,22.01142292
SLE,Sierra Leone,2017,2,17.87440154
SLE,Sierra Leone,2018,1,18.95626353
SLE,Sierra Leone,2019,3,20.03059654
SLE,Sierra Leone,2020,0,21.09710911
SLV,El Salvador,2017,46,90.65361489
SLV,El Salvador,2018,31,90.69958038
SUR,Suriname,2017,20,72.09506049
SUR,Suriname,2018,37,72.09657093
SUR,Suriname,2019,288,72.09935693
SUR,Suriname,2020,18,72.10365538
SYR,Syrian Arab Republic,2017,0,82.73048406
SYR,Syrian Arab Republic,2018,0,82.76136143
SYR,Syrian Arab Republic,2019,0,82.79209414
SYR,Syrian Arab Republic,2020,0,82.82259838
TCD,Chad,2018,2,23.55393562
TCD,Chad,2019,1,24.43171321
TCD,Chad,2020,0,25.30452727
TGO,Togo,2017,30,15.3339748
TGO,Togo,2018,32,16.19201377
TGO,Togo,2019,61,17.05231367
TGO,Togo,2020,11,17.14668514
THA,Thailand,2017,18,84.88929973
THA,Thailand,2018,11,84.91559635
THA,Thailand,2019,22,84.94168259
THA,Thailand,2020,4,84.96759329
TJK,Tajikistan,2017,2,72.70350663
TJK,Tajikistan,2018,5,72.76372887
TJK,Tajikistan,2019,3,72.82735238
TJK,Tajikistan,2020,2,72.8650804
TKM,Turkmenistan,2018,0,100.0
TKM,Turkmenistan,2019,1,100.0
TKM,Turkmenistan,2020,1,100.0
TLS,Timor-Leste,2017,3,28.17822891
TLS,Timor-Leste,2018,101,28.25397275
TLS,Timor-Leste,2019,191,28.33033846
TLS,Timor-Leste,2020,33,28.40753034
TUN,Tunisia,2017,29,84.98424316
TUN,Tunisia,2018,25,84.69608552
TUN,Tunisia,2019,18,84.40589811
TUN,Tunisia,2020,25,84.11333807
UGA,Uganda,2017,10,21.22248988
UGA,Uganda,2018,1,22.38333258
UGA,Uganda,2019,4,22.48637935
UGA,Uganda,2020,0,22.59047647
ZAF,South Africa,2017,21,43.99257483
ZAF,South Africa,2018,20,44.11920031
ZAF,South Africa,2019,20,44.24482361
ZAF,South Africa,2020,3,44.36969558
ZMB,Zambia,2017,9,17.61166605
ZMB,Zambia,2018,22,17.71791651
ZMB,Zambia,2019,23,17.82533636
ZMB,Zambia,2020,2,17.93392656
